SetID,Job Code,Eff Date,Sal End Date,Salary SetID,Sal Plan,Grade,Step,Biweekly High Rate,Biweekly Low Rate,Union Code,Extended Step,Pay Type
COMMN,9375,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07885,1,4278.00,5200.00,351,0,B
COMMN,9376,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07020,1,2806.00,3410.00,21,0,B
COMMN,9377,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07100,1,2918.00,3547.00,21,0,B
COMMN,9378,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07525,1,3589.00,4362.00,351,0,B
COMMN,9380,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06850,1,2582.00,3138.00,790,0,B
COMMN,9382,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07510,1,3566.00,4334.00,351,0,B
COMMN,9386,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07510,1,3566.00,4334.00,21,0,B
COMMN,9393,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07430,1,3426.00,4164.00,21,0,B
COMMN,9395,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07205,1,3072.00,3734.00,21,0,B
COMMN,9398,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07680,1,3873.00,4708.00,351,0,B
COMMN,9399,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9399F,1,9176.00,9176.00,604,0,B
SFMTA,9504,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06245,1,1923.00,2337.00,790,0,B
SFMTA,9506,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06435,1,2110.00,2564.00,790,0,B
SFMTA,9508,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06610,1,2297.00,2793.00,790,0,B
